Codigo, Asistio, No_asistio
24001,1,0
24002,1,0
24003,1,0
24004,1,0
24005,1,0
24006,1,0
24007,1,0
24008,1,0
24009,1,0
24010,1,0
24011,1,0
24012,1,0
24013,1,0
24014,1,0
24015,1,0
24016,1,0
24017,1,0
24018,1,0
24019,1,0
24020,1,0
24021,1,0
24022,0,1
24023,1,0
24024,1,0
24025,1,0
24026,1,0
24027,1,0
24028,1,0
24029,1,0
24030,1,0
24031,1,0
24032,1,0
24033,0,1
24034,1,0
24035,1,0
24036,1,0
24037,1,0
24038,1,0
24039,1,0
24040,1,0
24041,1,0
24042,1,0
24043,1,0
24044,1,0
24045,1,0
24046,1,0
24047,1,0
24048,1,0
24049,1,0
24050,1,0
24051,1,0
24052,1,0
24053,1,0
24054,1,0
24055,1,0
24056,1,0
24057,1,0
24058,1,0
24059,1,0
24060,1,0
24061,1,0
24062,1,0
24063,1,0
24064,1,0
24065,1,0
24066,1,0
24067,0,1
24068,1,0
24069,0,1
24070,1,0
24071,1,0
24072,1,0
24073,1,0
24074,1,0
24075,1,0
24076,1,0
24077,1,0
24078,1,0
24079,1,0
24080,1,0
24081,1,0
24082,1,0
24083,1,0
24084,1,0
24085,1,0
24086,1,0
24087,1,0
24088,1,0
24089,1,0
24090,1,0
24091,1,0
24092,1,0
24093,1,0
24094,1,0
24095,1,0
24096,1,0
24097,1,0
24098,1,0
24099,1,0
24100,1,0
24101,1,0
24102,1,0
24103,1,0
24104,1,0
24105,1,0
24106,1,0
24107,1,0
24108,1,0
24109,0,1
24110,1,0
24111,0,1
24112,1,0
24113,1,0
24114,1,0
24115,1,0
24116,1,0
24117,1,0
24118,1,0
24119,1,0
24120,1,0
24121,1,0
24122,1,0
24123,1,0
24124,1,0
24125,1,0
24126,1,0
24127,1,0
24128,1,0
24129,1,0
24130,1,0
24131,1,0
24132,1,0
24133,1,0
24134,1,0
24135,1,0
24136,1,0
24137,1,0
24138,1,0
24139,1,0
24140,1,0
24141,0,1
24142,1,0
24143,1,0
24144,1,0
24145,1,0
24146,1,0
24147,1,0
24148,1,0
24149,1,0
24150,1,0
24151,1,0
24152,1,0
24153,1,0
24154,1,0
24155,1,0
24156,1,0
24157,1,0
24158,1,0
24159,1,0
24160,1,0
24161,1,0
24162,1,0
24163,1,0
24164,1,0
24165,1,0
24166,1,0
24167,1,0
24168,1,0
24169,1,0
24170,1,0
24171,1,0
24172,1,0
24173,1,0
24174,1,0
24175,1,0
24176,0,1
24177,0,1
24178,0,1
24179,0,1
24180,0,1
24181,0,1
24182,0,1
24183,0,1
24184,1,0
24185,1,0
24186,1,0
24187,1,0
24188,1,0
24189,1,0
24190,1,0
24191,1,0
24192,1,0
24193,1,0
24194,1,0
24195,1,0
24196,1,0
24197,1,0
24198,1,0
24199,1,0
24200,1,0
24201,1,0
24202,1,0
24203,1,0
24204,1,0
24205,1,0
24206,1,0
24207,1,0
24208,1,0
24209,1,0
24210,1,0
24211,1,0
24212,1,0
24213,1,0
24214,1,0
24215,1,0
24216,1,0
24217,1,0
24218,1,0
24219,1,0
24220,1,0
24221,1,0
24222,1,0
24223,1,0
24224,1,0
24225,1,0
24226,1,0
24227,1,0
24228,1,0
24229,1,0
24230,1,0
24231,1,0
24232,1,0
24233,1,0
24234,1,0
24235,1,0
24236,1,0
24237,1,0
24238,1,0
24239,1,0
24240,1,0
24241,1,0
24242,1,0
24243,1,0
24244,1,0
24245,1,0
24246,1,0
24247,1,0
24248,1,0
24249,1,0
24250,1,0
24251,1,0
24252,1,0
24253,1,0
24254,1,0
24255,1,0
24256,1,0
24257,1,0
24258,1,0
24259,1,0
24260,1,0
24261,1,0
24262,1,0
24335,1,0
Total,94.29,05.71
